,ts_code,profit_daily,trade_date
0,600525.SH,-0.007491,20230801
1,600528.SH,0.018646,20230801
2,600511.SH,-0.029447,20230801
3,600498.SH,0.012421999999999999,20230801
4,600496.SH,0.0,20230801
5,600502.SH,0.0052910000000000006,20230801
6,600508.SH,0.011042000000000001,20230801
7,600590.SH,-0.001451,20230801
8,600597.SH,-0.00182,20230801
9,600612.SH,0.0067220000000000005,20230801
10,600587.SH,-0.011843,20230801
11,600577.SH,0.101149,20230801
12,600578.SH,0.021858,20230801
13,600582.SH,0.008757000000000001,20230801
14,600583.SH,0.00639,20230801
15,600480.SH,0.0031119999999999997,20230801
16,600336.SH,0.0,20230801
17,600362.SH,0.010505,20230801
18,600619.SH,0.0,20230801
19,600312.SH,0.0059570000000000005,20230801
20,600428.SH,0.0015310000000000002,20230801
21,600458.SH,0.008123,20230801
22,600459.SH,0.014276,20230801
23,600420.SH,-0.009242,20230801
24,600396.SH,0.036885,20230801
25,600861.SH,0.004525,20230801
26,600866.SH,0.010676000000000001,20230801
27,600871.SH,0.013825,20230801
28,600805.SH,0.019149,20230801
29,600820.SH,0.003165,20230801
30,600961.SH,0.027563,20230801
31,600966.SH,-0.002928,20230801
32,600968.SH,0.006431,20230801
33,600973.SH,0.065637,20230801
34,600976.SH,-0.014917,20230801
35,600933.SH,-0.010336000000000001,20230801
36,600929.SH,-0.007624,20230801
37,600685.SH,-0.017929,20230801
38,600699.SH,-0.021030000000000004,20230801
39,600707.SH,0.014173,20230801
40,600710.SH,-0.0024360000000000002,20230801
41,600626.SH,0.007895,20230801
42,600635.SH,0.00565,20230801
43,600662.SH,0.0,20230801
44,600780.SH,0.0031190000000000002,20230801
45,600789.SH,-0.005988,20230801
46,600792.SH,0.024862000000000002,20230801
47,600727.SH,-0.003241,20230801
48,600729.SH,-0.000562,20230801
49,600731.SH,-0.008816000000000001,20230801
50,600737.SH,-0.011961999999999999,20230801
51,300909.SZ,-0.0028810000000000003,20230801
52,300951.SZ,0.002632,20230801
53,300900.SZ,-0.005901999999999999,20230801
54,300902.SZ,-0.011833,20230801
55,301090.SZ,-0.004562,20230801
56,300976.SZ,-0.004716000000000001,20230801
57,301015.SZ,-0.119936,20230801
58,301017.SZ,-0.012017,20230801
59,300752.SZ,0.001833,20230801
60,300739.SZ,-0.010021,20230801
61,300832.SZ,-0.022792,20230801
62,300833.SZ,0.0,20230801
63,600170.SH,0.006734,20230801
64,600180.SH,0.003215,20230801
65,600169.SH,0.0038309999999999998,20230801
66,600168.SH,0.003125,20230801
67,600166.SH,0.007958,20230801
68,600143.SH,0.002195,20230801
69,600269.SH,0.005102,20230801
70,600278.SH,-0.010178,20230801
71,600285.SH,-0.005253,20230801
72,600292.SH,0.0016309999999999999,20230801
73,600210.SH,-0.0056289999999999995,20230801
74,600218.SH,0.0,20230801
75,600052.SH,-0.003992,20230801
76,600098.SH,0.004717,20230801
77,600060.SH,0.00046300000000000003,20230801
78,600073.SH,-0.005051,20230801
79,600079.SH,-0.013711,20230801
80,603968.SH,-0.001127,20230801
81,603977.SH,0.0,20230801
82,603901.SH,0.021233,20230801
83,605116.SH,0.000861,20230801
84,605183.SH,-0.007399,20230801
85,603987.SH,-0.07063799999999999,20230801
86,605008.SH,-0.023794,20230801
87,603859.SH,0.025006,20230801
88,603611.SH,-0.00040599999999999995,20230801
89,603609.SH,-0.009288,20230801
90,603527.SH,-0.00638,20230801
91,603533.SH,-0.011383,20230801
92,603535.SH,0.0064139999999999996,20230801
93,603556.SH,0.033491,20230801
94,603588.SH,-0.008945999999999999,20230801
95,603800.SH,0.030313,20230801
96,603766.SH,0.0,20230801
97,688516.SH,-0.005408,20230801
98,688519.SH,-0.015517000000000001,20230801
99,688526.SH,0.011369,20230801
100,688575.SH,-0.037166000000000005,20230801
101,688578.SH,-0.010270999999999999,20230801
102,688368.SH,0.001083,20230801
103,688377.SH,0.034483,20230801
104,688383.SH,0.000557,20230801
105,688389.SH,-0.030093,20230801
106,688617.SH,-0.029550999999999997,20230801
107,688660.SH,0.0070420000000000005,20230801
108,688665.SH,0.0040089999999999995,20230801
109,688018.SH,0.023119,20230801
110,605507.SH,-0.013678999999999998,20230801
111,688002.SH,-0.012945,20230801
112,688198.SH,0.010067999999999999,20230801
113,688239.SH,0.041629,20230801
114,688269.SH,0.0015890000000000001,20230801
115,688166.SH,-0.027778,20230801
116,601611.SH,-0.007317000000000001,20230801
117,601619.SH,0.006961,20230801
118,601686.SH,0.025849999999999998,20230801
119,601609.SH,0.014903,20230801
120,601512.SH,-0.010752999999999999,20230801
121,601717.SH,-0.011271999999999999,20230801
122,601886.SH,0.0,20230801
123,601918.SH,0.006912000000000001,20230801
124,601811.SH,0.0,20230801
125,601827.SH,-0.0012970000000000002,20230801
126,601038.SH,-0.010952,20230801
127,601107.SH,0.002326,20230801
128,600986.SH,-0.011513,20230801
129,600987.SH,0.039710999999999996,20230801
130,600993.SH,-0.015276000000000001,20230801
131,600997.SH,0.020280999999999997,20230801
132,601226.SH,-0.011204,20230801
133,601330.SH,0.007916,20230801
134,601137.SH,0.006676,20230801
135,601139.SH,0.017833,20230801
136,601200.SH,0.000994,20230801
137,601208.SH,0.005997,20230801
138,601963.SH,-0.001208,20230801
139,603283.SH,-0.005960999999999999,20230801
140,603297.SH,0.003378,20230801
141,603299.SH,-0.001988,20230801
142,603303.SH,-0.029392,20230801
143,603313.SH,-0.005168000000000001,20230801
144,603277.SH,0.002788,20230801
145,603217.SH,-0.009046,20230801
146,603225.SH,-0.008163,20230801
147,603239.SH,-0.010731,20230801
148,603390.SH,-0.016847,20230801
149,603500.SH,-0.003918,20230801
150,603386.SH,0.003646,20230801
151,603337.SH,0.000972,20230801
152,603353.SH,0.002485,20230801
153,603358.SH,-0.006842,20230801
154,603368.SH,-0.0014099999999999998,20230801
155,603020.SH,0.0,20230801
156,603028.SH,0.0050929999999999994,20230801
157,603013.SH,-0.010289,20230801
158,603012.SH,-0.00487,20230801
159,603010.SH,-0.0017649999999999999,20230801
160,601991.SH,0.022364000000000002,20230801
161,603071.SH,0.002946,20230801
162,603166.SH,-0.005814000000000001,20230801
163,603181.SH,-0.006873000000000001,20230801
164,603100.SH,0.024439000000000002,20230801
165,603197.SH,-0.001428,20230801
166,002237.SZ,0.015319000000000001,20230801
167,002239.SZ,0.010752999999999999,20230801
168,002215.SZ,0.005642,20230801
169,002203.SZ,-0.0040420000000000005,20230801
170,002293.SZ,-0.016565,20230801
171,002294.SZ,-0.008097,20230801
172,002249.SZ,-0.005263,20230801
173,002258.SZ,-0.007576,20230801
174,002262.SZ,-0.018914,20230801
175,002266.SZ,-0.002326,20230801
176,002273.SZ,-0.0008699999999999999,20230801
177,002183.SZ,-0.003711,20230801
178,002087.SZ,0.033493,20230801
179,002097.SZ,0.028485999999999997,20230801
180,002106.SZ,0.0034599999999999995,20230801
181,002111.SZ,-0.00639,20230801
182,002081.SZ,-0.0020239999999999998,20230801
183,002060.SZ,-0.001529,20230801
184,002067.SZ,0.002778,20230801
185,002160.SZ,0.014018999999999998,20230801
186,002161.SZ,-0.0018520000000000001,20230801
187,002170.SZ,-0.007987,20230801
188,002171.SZ,0.009459,20230801
189,002149.SZ,0.017103999999999998,20230801
190,002126.SZ,-0.014542999999999999,20230801
191,002130.SZ,-0.035714,20230801
192,002483.SZ,-0.015733999999999998,20230801
193,002440.SZ,0.007062000000000001,20230801
194,002442.SZ,0.0,20230801
195,002449.SZ,0.003382,20230801
196,002453.SZ,-0.015371,20230801
197,002540.SZ,0.0,20230801
198,002556.SZ,-0.008986,20230801
199,002324.SZ,-0.011177,20230801
200,002416.SZ,-0.003764,20230801
201,002429.SZ,0.011342000000000001,20230801
202,002382.SZ,-0.001381,20230801
203,002387.SZ,0.003745,20230801
204,002391.SZ,-0.0013830000000000001,20230801
205,002392.SZ,0.012821,20230801
206,002393.SZ,-0.0076549999999999995,20230801
207,002054.SZ,0.00411,20230801
208,000601.SZ,0.015283999999999999,20230801
209,000630.SZ,0.018462,20230801
210,000582.SZ,0.00609,20230801
211,000541.SZ,0.0161,20230801
212,000551.SZ,-0.040187,20230801
213,000559.SZ,0.003584,20230801
214,000727.SZ,0.026087,20230801
215,000709.SZ,0.024895999999999998,20230801
216,000680.SZ,-0.0018729999999999999,20230801
217,000061.SZ,0.019746,20230801
218,000078.SZ,0.003115,20230801
219,000089.SZ,0.0,20230801
220,000039.SZ,0.005413,20230801
221,000030.SZ,-0.014388000000000001,20230801
222,000498.SZ,0.0,20230801
223,000521.SZ,0.0061070000000000004,20230801
224,000528.SZ,0.010013000000000001,20230801
225,000426.SZ,-0.008602,20230801
226,002053.SZ,0.0026040000000000004,20230801
227,000973.SZ,0.006397000000000001,20230801
228,000987.SZ,0.0053690000000000005,20230801
