601107.SH
000862.SZ
601399.SH
601611.SH
600783.SH
000713.SZ
601168.SH
600962.SH
600664.SH
601669.SH
002272.SZ
600919.SH
600935.SH
002307.SZ
000966.SZ
002930.SZ
601868.SH
002081.SZ
000729.SZ
000937.SZ
002676.SZ
300196.SZ
601328.SH
301101.SZ
601888.SH
000886.SZ
002380.SZ
600127.SH
000883.SZ
600396.SH
688779.SH
600917.SH
300048.SZ
002286.SZ
000652.SZ
601816.SH
603738.SH
600744.SH
600269.SH
000848.SZ
600688.SH
000688.SZ
600126.SH
600887.SH
002966.SZ
601866.SH
300061.SZ
000878.SZ
600039.SH
002425.SZ
002484.SZ
000910.SZ
601899.SH
000633.SZ
301073.SZ
600415.SH
600022.SH
600581.SH
601016.SH
605099.SH
000869.SZ
002234.SZ
300237.SZ
000655.SZ
601117.SH
601969.SH
002461.SZ
600711.SH
600277.SH
600029.SH
601665.SH
600477.SH
601908.SH
002308.SZ
000881.SZ
300133.SZ
300639.SZ
600350.SH
000058.SZ
601966.SH
603126.SH
600740.SH
002096.SZ
600033.SH
002498.SZ
600177.SH
603058.SH
000012.SZ
301078.SZ
300005.SZ
000726.SZ
000088.SZ
000008.SZ
600420.SH
002062.SZ
601929.SH
000027.SZ
000488.SZ
600000.SH
600220.SH
600866.SH
601963.SH
688268.SH
605007.SH
600284.SH
601921.SH
002571.SZ
600339.SH
300896.SZ
300198.SZ
603799.SH
600016.SH
000510.SZ
002479.SZ
603227.SH
600500.SH
002631.SZ
300722.SZ
002304.SZ
600557.SH
301051.SZ
301206.SZ
601106.SH
688789.SH
002551.SZ
600803.SH
600971.SH
000601.SZ
688012.SH
002564.SZ
000725.SZ
000420.SZ
601992.SH
600179.SH
600916.SH
002061.SZ
601169.SH
600861.SH
002468.SZ
603277.SH
002822.SZ
300441.SZ
600197.SH
002497.SZ
601216.SH
300021.SZ
300384.SZ
600297.SH
300483.SZ
603533.SH
300233.SZ
600371.SH
000795.SZ
002174.SZ
688295.SH
002047.SZ
002460.SZ
002042.SZ
603333.SH
000528.SZ
002705.SZ
300284.SZ
003816.SZ
600006.SH
600558.SH
600331.SH
600323.SH
688513.SH
600200.SH
300093.SZ
605299.SH
300332.SZ
603035.SH
601388.SH
600031.SH
300969.SZ
600058.SH
600985.SH
000976.SZ
300303.SZ
002312.SZ
600502.SH
300471.SZ
601918.SH
601958.SH
000962.SZ
000789.SZ
300161.SZ
002799.SZ
603123.SH
000919.SZ
300386.SZ
603990.SH
002759.SZ
001203.SZ
600751.SH
300070.SZ
300129.SZ
600085.SH
000544.SZ
600335.SH
600211.SH
601077.SH
600230.SH
601069.SH
601865.SH
600362.SH
603618.SH
600104.SH
600736.SH
688116.SH
300686.SZ
000758.SZ
300058.SZ
002095.SZ
603043.SH
002225.SZ
603815.SH
300364.SZ
002354.SZ
300244.SZ
000078.SZ
600483.SH
601766.SH
605168.SH
600170.SH
002323.SZ
002522.SZ
603882.SH
002246.SZ
688521.SH
000151.SZ
603908.SH
002075.SZ
002162.SZ
600138.SH
605138.SH
600997.SH
601619.SH
600461.SH
600559.SH
600773.SH
000639.SZ
300664.SZ
002301.SZ
300006.SZ
600079.SH
002852.SZ
600704.SH
600959.SH
002352.SZ
301060.SZ
688277.SH
000683.SZ
000900.SZ
000428.SZ
605336.SH
601949.SH
603336.SH
688050.SH
300109.SZ
603363.SH
600821.SH
300258.SZ
601288.SH
300255.SZ
603299.SH
002511.SZ
600422.SH
301236.SZ
300747.SZ
002601.SZ
300962.SZ
603170.SH
300633.SZ
300506.SZ
600594.SH
002578.SZ
300618.SZ
300232.SZ
603112.SH
300226.SZ
002120.SZ
688278.SH
300663.SZ
688196.SH
000582.SZ
300612.SZ
300788.SZ
002911.SZ
688819.SH
605089.SH
605136.SH
002584.SZ
300459.SZ
002056.SZ
603899.SH
002706.SZ
