trade_date,group_0,group_1,group_2,group_3,group_4,longshort_hedge
20230131,1.0,1.0,1.0,1.0,1.0,1.0
20230201,1.0190478280467445,1.0189749866444073,1.0166389115191987,1.0136598046744574,1.0120921809045227,1.0069556471422219
20230202,1.0254286491169786,1.020219592654424,1.0179254373956594,1.0171348480801334,1.0114501172529313,1.0139785318640473
20230203,1.0267043614915605,1.0208660150250417,1.0176306160267112,1.0137210333889815,1.0055676046901172,1.0211367568014433
20230206,1.0288680705216608,1.0213595826377295,1.014256959933222,1.009323225375626,0.9960648492462311,1.0328032212754297
20230207,1.0382260438104756,1.0316217612687812,1.0200723171953257,1.0150971702838063,0.997714552763819,1.0405114910466564
20230208,1.035179703242863,1.0259845676126877,1.0135926850883021,1.0070679716193656,0.9925341416899935,1.0426455615528691
20230209,1.0499790054131468,1.0391998681135224,1.0280257302388038,1.024151101836394,1.0056823950456983,1.0442966103674483
20230210,1.048640153994115,1.0367659682804673,1.0255969794026834,1.0232813405676127,1.0006206165222085,1.0480195374719066
20230213,1.059945948651878,1.0455344273789648,1.0363463857571984,1.0344385492487478,1.0083987322940204,1.0515472163578574
20230214,1.0609960822078046,1.0462899682804674,1.0389382135163958,1.0363649782971618,1.0103723682000607,1.0506237140077437
20230215,1.0672272808722454,1.0489482637729548,1.0407854258909777,1.0370928764607679,1.0059181688700776,1.0613091120021676
20230216,1.0417687282845993,1.0244604123539232,1.0200736228859693,1.017833794657763,0.9932193464245165,1.0485493818600826
20230217,1.0382166948956177,1.0195012921535893,1.0145551103651012,1.00944283639399,0.9838959149863894,1.054320779909228
20230220,1.0501026196447816,1.032704919866444,1.027876781483632,1.0249196611018365,1.0038128999362221,1.0462897197085592
20230221,1.0534465427217046,1.038941719532554,1.0331384809827973,1.0307219682804676,1.008980147427861,1.0444663952938436
20230222,1.0562701681397648,1.0389203956594322,1.0341642238876387,1.0318273272120202,1.0056647561235132,1.0506054120162516
20230223,1.0529935795110024,1.0348286911519196,1.0300325577774552,1.0289320500834727,1.0049058531134798,1.0480877263975226
20230224,1.0501327216514706,1.0326205242070114,1.028918677977789,1.0252543589315528,0.9995819668258544,1.050550754825616
20230227,1.0402562651297316,1.0230675275459096,1.0217386245554183,1.018034465776294,0.9954621557890652,1.0447941093406663
20230228,1.049717798017134,1.032557228714524,1.0315005833756743,1.0267043505843074,1.0022871113588274,1.0474306866583065
20230301,1.059156725456667,1.0416123580968277,1.0397252239094525,1.0342119616026713,1.0102374856278333,1.0489192398288336
20230302,1.0547841637900002,1.0381303147634944,1.0351974839094527,1.0310502404006678,1.0081235691002874,1.046660594689713
20230303,1.052917825456667,1.0372726697634944,1.0353664905761193,1.0316204757929883,1.0109734555777499,1.0419443698789173
20230306,1.0534263121233336,1.037774128861992,1.0383689639094527,1.0336886594323873,1.0111209246929418,1.042305387430392
20230307,1.0285484221233336,1.0138630203478016,1.018863187242786,1.0153091402337229,0.9956123120051288,1.032936110118205
20230308,1.039902780456667,1.0227442390456314,1.0256382405761193,1.0197258697829716,0.9951637677647281,1.0447390126919391
20230309,1.046154040456667,1.0230990537367832,1.023962307242786,1.0189562220367279,0.9922000749433592,1.053953965513308
20230310,1.0323331021233335,1.0087463358736781,1.0096975105761192,1.0052370150250418,0.9780387126729084,1.0542943894504255
20230313,1.0330130054566669,1.0108770375403449,1.014351107242786,1.0114927178631052,0.986393457247199,1.0466195482094685
20230314,1.0191149537900002,0.9986503275403449,1.0037247505761193,1.0025115141903174,0.978923519016815,1.0401914347731858
20230315,1.0294868771233334,1.0079728125403449,1.013498262242786,1.009394058430718,0.9823091901353458,1.0471776869879883
20230316,1.0123856954566668,0.9904242742070115,0.996737432242786,0.9946638247078465,0.9678233654274994,1.044562330029168
20230317,1.0207131121233335,0.9994526292070115,1.0060237844965423,1.0026980233722873,0.9724609564124743,1.0482521557108597
20230320,1.0191180870815972,0.9969831042070115,1.0030951250641549,0.9997023405676129,0.9687255807864309,1.050392506295167
20230321,1.0372924844104787,1.0128644825403448,1.0164246943462918,1.0115985926544242,0.9795425023223241,1.0577499820881553
20230322,1.0462391972652367,1.0201841675403447,1.0208290232277608,1.0155596544240402,0.9824277193507047,1.0638114779145327
20230323,1.0460387248111467,1.0196787875403446,1.021373393845457,1.019377751252087,0.9901452468966145,1.0558934779145326
20230324,1.0497899852452035,1.0224320725403446,1.0219643355121237,1.0181025425709518,0.9882928779483675,1.0614971072968364
20230327,1.0496599101199948,1.023574180873678,1.0227210621787903,1.0186249432387313,0.9868262652605545,1.0628336448594409
20230328,1.0377547214722487,1.0135379375403446,1.0141704555121236,1.0136546577629384,0.9831407761119735,1.0546139453602756
20230329,1.035130039805582,1.0101571042070112,1.0087558955121236,1.0112726260434057,0.9814196726061304,1.053710367199452
20230330,1.0292963831389155,1.0056380575403445,1.0060980071787904,1.0130110333889817,0.9879068913039601,1.0413894918349558
20230331,1.0387239548055822,1.0167396542070113,1.016090998845457,1.0223480634390651,0.9923774066072434,1.0463465481983392
20230403,1.0458484343718875,1.0274831258736778,1.0278138003467079,1.0328670150250419,1.0042250649405766,1.041623369431311
20230404,1.0326069027052207,1.0169265908736778,1.0229288670133745,1.0302424540901505,1.0075815716072434,1.0250253310979778
20230406,1.0342166743718875,1.0163273225403444,1.0216807203467078,1.0339778430717865,1.0094959199405766,1.024720754431311
20230407,1.0446935427052209,1.026972174207011,1.030633913680041,1.042778711185309,1.0157582649405765,1.0289352777646443
20230410,1.0316164160385541,1.0142789070951579,1.0209167320133745,1.0356426444073459,1.0090367416072432,1.022579674431311
